City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1855342,Nishihara,JP,26.1842,127.7558,85.51,74,75,4.61
1812256,Dongsheng,CN,39.8161,109.9776,73.22,18,3,13.29
4006387,Etchoropo,MX,26.7667,-109.6667,84.36,74,53,8.21
3865086,Bahía Blanca,AR,-38.7196,-62.2724,45.46,57,0,5.06
1261375,Nimāparha,IN,20.0667,86.0167,84.6,87,100,7.31
1502060,Krasnoural'sk,RU,58.3638,60.0407,43.38,57,25,7.9
3361142,Springbok,ZA,-29.6643,17.8865,45.59,59,1,14.27
4231997,Avera,US,33.194,-82.5271,72.5,98,100,6.78
88834,Tūkrah,LY,32.5341,20.5791,82.4,32,0,3.96
3421982,Maniitsoq,GL,65.4167,-52.9,31.86,54,33,5.75
3421319,Nuuk,GL,64.1835,-51.7216,32.61,80,75,0.0
2128983,Nayoro,JP,44.3506,142.4578,71.65,49,97,6.44
962367,Richards Bay,ZA,-28.783,32.0377,64.24,74,100,16.22
3945985,Camaná,PE,-16.6228,-72.7111,60.57,86,100,6.02
1162862,Uthal,PK,25.8072,66.6219,87.12,63,29,4.59
2170577,Cooma,AU,-36.2333,149.1333,46.17,57,75,21.85
3491355,Black River,JM,18.0264,-77.8487,80.6,84,29,3.67
149929,Sikonge,TZ,-5.6333,32.7667,70.29,55,0,8.52
2716166,Enköping,SE,59.6361,17.0777,40.78,73,100,5.35
6180550,Whitehorse,CA,60.7161,-135.0538,43.57,87,75,16.11
2067119,Mandurah,AU,-32.55,115.7,73.65,47,0,9.66
3395981,Maceió,BR,-9.6658,-35.7353,72.84,100,75,3.44
1106643,Quatre Cocos,MU,-20.2078,57.7625,71.71,61,74,15.12
1280037,Shache,CN,38.4167,77.2406,84.33,11,60,10.18
2156927,Moree,AU,-29.4667,149.85,57.22,33,75,24.16
2015352,Terney,RU,45.0503,136.6092,60.94,74,100,1.79
